userId,movieId,rating,timestamp,predictedRating,s1,s2,s3,s4,s5,s6,s7,s8,q,s_ser_rel,s_ser_find,s_ser_imp,s_ser_rec,m_ser_rel,m_ser_find,m_ser_imp,m_ser_rec
205229,108979,5.0,1486127833000,4.8822985,1,1,3,4,2,2,5,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205229,6947,4.0,1486121212000,3.2533484,1,1,3,4,4,2,5,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205229,117444,4.0,1486127837000,4.9228373,1,4,4,2,2,2,4,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205229,150548,4.0,1486127824000,4.4289117,2,2,4,2,4,2,4,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205229,136542,5.0,1486128075000,4.101256,1,1,5,1,1,2,5,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117112,77455,3.5,1491910602000,3.4911196,1,2,2,2,4,4,4,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144726,1303,4.0,1489118656000,4.194195,1,1,NA,4,3,2,5,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144726,103306,3.5,1485640141000,3.0313818,NA,NA,3,2,1,2,4,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144726,2060,4.5,1488168219000,3.195071,1,1,4,2,1,1,5,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144726,135534,3.5,1486438166000,2.757389,2,1,5,1,1,1,5,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144726,128542,3.5,1486446805000,3.6336055,1,1,4,3,1,2,5,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200400,26939,4.0,1490679857000,3.7607656,1,2,4,2,2,2,4,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200400,40491,3.5,1488958959000,3.511684,1,2,4,2,2,2,4,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125112,104337,3.5,1490369510000,3.7392685,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125112,162082,4.0,1487164397000,3.7969306,2,NA,3,5,5,NA,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125112,96966,4.5,1490369809000,4.131457,NA,NA,NA,NA,NA,NA,NA,NA,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125112,165551,4.5,1490368915000,4.0900993,1,3,4,3,3,2,5,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125112,89759,5.0,1490369542000,4.213553,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113031,5046,3.5,1484584534000,3.1500452,1,1,3,1,1,2,4,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113031,116855,4.0,1485413488000,3.780302,1,1,4,1,1,5,5,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
